Book_Name|Author|Release_Date|Rating|Number_of_Review
Grey: Fifty Shades of Grey as Told by Christian|E L James|Jun 18, 2015|4.2|1,487
The Wright Brothers|David McCullough|May 5, 2015|4.6|597
Your Baby's First Word Will Be DADA|Jimmy Fallon and Miguel Ordóñez|Jun 9, 2015|3.4|75
Finders Keepers: A Novel|Stephen King|Jun 2, 2015|4.5|522
Modern Romance|Aziz Ansari and Eric Klinenberg|Jun 16, 2015|4|30
The Whole30: The 30-Day Guide to Total Health and Food Freedom|Melissa Hartwig and Dallas Hartwig|Apr 21, 2015|4.6|269
Adult Coloring Book: Stress Relieving Patterns|Adult Coloring Book Artists|Mar 28, 2015|4.3|244
The Road to Character|David Brooks|Apr 14, 2015|4.2|453
Bill O'Reilly's Legends and Lies: The Real West|David Fisher and Bill O'Reill|Apr 7, 2015|4.3|582
Adios, America|Ann Coulter|Jun 1, 2015|3.9|182
Down the Rabbit Hole: Curious Adventures and Cautionary Tales of a Former Playboy Bunny|Holly Madison|Jun 23, 2015|4.5|6
Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future|Ashlee Vance|May 19, 2015|4.6|194
In the Unlikely Event|Judy Blume|Jun 2, 2015|3.8|185
Sick in the Head: Conversations About Life and Comedy|Judd Apatow|Jun 16, 2015|3.8|8
The 22-Day Revolution: The Plant-Based Program That Will Transform Your Body, Reset Your Habits, and Change Your...|Marco Borges and Dean Ornish|Apr 28, 2015|3.9|94
Primates of Park Avenue: A Memoir|Wednesday Martin Ph.D.|Jun 2, 2015|2.6|156
It's a Long Story: My Life|Willie Nelson and David Ritz|May 5, 2015|4.6|329
Radiant Angel (A John Corey Novel)|Nelson DeMille|May 26, 2015|4.1|916
Brain Maker: The Power of Gut Microbes to Heal and Protect Your Brainfor Life|David Perlmutter and Kristin Loberg|Apr 28, 2015|4.8|154
Luckiest Girl Alive: A Novel|Jessica Knoll|May 12, 2015|3.8|393
Franklin Barbecue: A Meat-Smoking Manifesto|Aaron Franklin and Jordan Macka|Apr 7, 2015|4.8|273
GRE® Premier 2016 with 6 Practice Tests: Book + Online + DVD + Mobile (Kaplan Test Prep)|Kaplan|May 5, 2015|4|9
Triggers: Creating Behavior That Lasts--Becoming the Person You Want to Be|Marshall Goldsmith and Mark Reiter|May 19, 2015|4.7|69
Creative Haven Creative Cats Coloring Book (Creative Haven Coloring Books)|Marjorie Sarnat|Mar 18, 2015|4.8|371
The Witcher 3:  Wild Hunt Collector's Edition: Prima Official Game Guide|David Hodgson and Alex Musa|May 19, 2015|4.6|122
Seveneves: A Novel|Neal Stephenson|May 19, 2015|4|528
And the Good News Is...: Lessons and Advice from the Bright Side|Dana Perino|Apr 21, 2015|4.7|1,545
Our Souls at Night: A novel|Kent Haruf|May 26, 2015|4.4|206
The Goldfinch: A Novel (Pulitzer Prize for Fiction)|Donna Tartt|Apr 7, 2015|3.7|21,657
The Isle of the Lost: A Descendants Novel (The Descendants)|Melissa de la Cruz|May 5, 2015|4.6|117
Dork Diaries 9: Tales from a Not-So-Dorky Drama Queen|Rachel Renée Russell|Jun 2, 2015|4.8|63
Memory Man (Amos Decker series)|David Baldacci|Apr 21, 2015|4.4|3,952
Becoming a Supple Leopard 2nd Edition: The Ultimate Guide to Resolving Pain, Preventing Injury, and Optimizing...|Kelly Starrett and Glen Cordoza|May 19, 2015|4.8|981
The President's Shadow (The Culper Ring Series)|Brad Meltzer|Jun 16, 2015|3.9|26
One Man Against the World: The Tragedy of Richard Nixon|Tim Weiner|Jun 16, 2015|3.3|7
Gumption: Relighting the Torch of Freedom with America's Gutsiest Troublemakers|Nick Offerman|May 26, 2015|3.8|20
The Quartet: Orchestrating the Second American Revolution, 1783-1789|Joseph J. Ellis|May 12, 2015|4.6|57
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban|Malala Yousafzai and Christina Lam|Jun 2, 2015|4.6|2,032
Creative Haven Entangled Coloring Book (Creative Haven Coloring Books)|Dr. Angela Porter|Apr 22, 2015|4.8|88
Tom Clancy Under Fire (A Jack Ryan Jr. Novel)|Grant Blackwood|Jun 16, 2015|3.2|41
Everything I Never Told You|Celeste Ng|May 12, 2015|4.1|1,746
The Rumor: A Novel|Elin Hilderbrand|Jun 16, 2015|4.2|39
Hitler's Last Days: The Death of the Nazi Regime and the World's Most Notorious Dictator|Bill O'Reill|Jun 9, 2015|2.8|29
Adult Coloring Book: Stress Relieving Animal Designs|Adult Coloring Book Artists|Apr 12, 2015|4|97
GMAT 2016 Official Guide Bundle|GMAC (Graduate Management Admission Council)|Jun 8, 2015|5|2
How to Raise an Adult: Break Free of the Overparenting Trap and Prepare Your Kid for Success|Julie Lythcott-Haims|Jun 9, 2015|4.9|13
The Reading Strategies Book: Your Everything Guide to Developing Skilled Readers|Jennifer Serravallo|May 20, 2015|5|7
Waterloo: The History of Four Days, Three Armies, and Three Battles|Bernard Cornwell|May 5, 2015|4.4|137
Food52 Genius Recipes: 100 Recipes That Will Change the Way You Cook|Kristen Miglore and Amanda Hesser|Apr 7, 2015|4.2|95
Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead|Brene Brown|Apr 7, 2015|4.7|1,779
Hold Still: A Memoir with Photographs|Sally Mann|May 12, 2015|4.6|57
A Lucky Life Interrupted: A Memoir of Hope|Tom Brokaw|May 12, 2015|4.5|169
Team of Teams: New Rules of Engagement for a Complex World|General Stanley McChrystal and Tantum Collins|May 12, 2015|4.9|52
Making the Case: How to Be Your Own Best Advocate|Kimberly Guilfoyle|May 26, 2015|4.4|54
Rand McNally 2016 Large Scale Road Atlas (Rand Mcnally Large Scale Road Atlas USA)|Rand McNall|Apr 17, 2015|4.6|44
Ally: My Journey Across the American-Israeli Divide|Michael B. Oren|Jun 23, 2015|5|1
The Fateful Lightning: A Novel of the Civil War|Jeff Shaara|Jun 2, 2015|4.6|57
14th Deadly Sin (Women's Murder Club)|James Patterson and Maxine Paetro|May 4, 2015|4.1|1,354
The Invention of Wings|Sue Monk Kidd|May 5, 2015|4.6|9,721
Misbehaving: The Making of Behavioral Economics|Richard H. Thaler|May 11, 2015|4.5|29
The Sanford Guide to Antimicrobial Therapy 2015|Gilbert, David N., M.D. and Chambers, Henry F., M.D.|Apr 1, 2015|4.4|30
Creative Haven Whimsical Gardens Coloring Book (Creative Haven Coloring Books)|Alexandra Cowell|Apr 22, 2015|4.4|65
Country: A Novel|Danielle Steel|Jun 16, 2015|4.4|19
Slaying the Tiger: A Year Inside the Ropes on the New PGA Tour|Shane Ryan|Jun 9, 2015|4.5|22
Reagan: The Life|H.W. Brands|May 12, 2015|4.2|49
The Heir (The Selection)|Kiera Cass|May 5, 2015|4.1|663
All the Single Ladies: A Novel|Dorothea Benton Frank|Jun 9, 2015|4.2|81
